Fecha,Unidad,Total Viajes,Total Vueltas,Km Programados,Km Vacios,Km Realizados
01/04/2022,TM-023    ,442,221,7060,20,7040
01/04/2022,TM-025    ,405,202.5,6474,26,6448
01/04/2022,TM-027    ,475,237.5,7552,80,7472
01/04/2022,TM-028    ,498,249,7968,0,7968
01/04/2022,TM-029    ,500,250,7940,100,7840
01/04/2022,TM-030    ,540,270,8628,52,8576
01/04/2022,TM-031    ,435,217.5,6954,42,6912
01/04/2022,TM-032    ,465,232.5,7428,20,7408
01/04/2022,TM-033    ,3,1.5,48,0,48
01/04/2022,TM-034    ,499,249.5,7873.6,81.6,7792
01/04/2022,TM-035    ,419,209.5,6686,30,6656
01/04/2022,TM-036    ,9,4.5,144,0,144
01/04/2022,TM-038    ,557,278.5,8906,10,8896
01/04/2022,TM-039    ,566,283,9056,0,9056
01/04/2022,TM-040    ,542,271,8634.8,10.8,8624
01/04/2022,TM-041    ,478,239,7618,50,7568
01/04/2022,TM-042    ,178,89,2836,20,2816
01/04/2022,TM-043    ,40,20,640,0,640
01/04/2022,TM-044    ,175,87.5,2800,16,2784
01/04/2022,TM-045    ,195,97.5,3108,20,3088
01/04/2022,TM-046    ,394,197,6250,218,6032
01/04/2022,TM-047    ,328,164,5200,176,5024
01/04/2022,TM-048    ,280,140,4373.6,245.6,4128
01/04/2022,TM-049    ,302,151,4784,144,4640
01/04/2022,TM-050    ,338,169,5360,224,5136
01/04/2022,TM-051    ,452,226,7166,222,6944
01/04/2022,TM-052    ,350,175,5576,152,5424
01/04/2022,TM-053    ,425,212.5,6740,212,6528
01/04/2022,TM-054    ,364,182,5770,202,5568
01/04/2022,TM-055    ,403,201.5,6394,202,6192
01/04/2022,TM-056    ,411,205.5,6552,104,6448
01/04/2022,TM-057    ,374,187,5936,176,5760
01/04/2022,TM-058    ,508,254,8062,158,7904
01/04/2022,TM-059    ,454,227,7218.8,66.8,7152
01/04/2022,TM-060    ,401,200.5,6398,62,6336
01/05/2022,AM-001    ,1,0.5,9,0,9
01/05/2022,AM-01     ,1930,965,9737,124,9613
01/05/2022,AM-02     ,2048,1024,10054,124,9930
01/05/2022,AM-03     ,836,418,7932,675.2,7256.8
01/05/2022,AM-04     ,933,466.5,8378.7,544.2,7834.5
01/05/2022,AM-05     ,830,415,7417,306,7111
01/05/2022,AM-06     ,802,401,7543,329,7214
01/05/2022,AM-068    ,1215,607.5,5345,921,4424
01/05/2022,AM-069    ,1128,564,5363,1528,3835
01/05/2022,AM-07     ,871,435.5,7924,502,7422
01/05/2022,AM-070    ,1153,576.5,4858,656,4202
01/05/2022,AM-071    ,1312,656,5838,734,5104
01/05/2022,AM-072    ,1424,712,7510,784,6726
01/05/2022,AM-073    ,1124,562,7327,810,6517
01/05/2022,AM-074    ,700,350,7150,1132,6018
01/05/2022,AM-075    ,724,362,7868,1598,6270
01/05/2022,AM-076    ,769,384.5,7907,922,6985
01/05/2022,AM-077    ,748,374,7888,905,6983
01/05/2022,AM-078    ,724,362,7425,603,6822
01/05/2022,AM-079    ,687,343.5,7221,507,6714
01/05/2022,AM-08     ,1005,502.5,5526,448,5078
01/05/2022,AM-080    ,687,343.5,7555,708,6847
01/05/2022,AM-081    ,697,348.5,7419,430,6989
01/05/2022,AM-082    ,781,390.5,7621,331,7290
01/05/2022,AM-083    ,906,453,7949,245,7704
01/05/2022,AM-084    ,911,455.5,7642,350,7292
01/05/2022,AM-085    ,1110,555,8223,409,7814
01/05/2022,AM-086    ,1116,558,7718,399,7319
01/05/2022,AM-087    ,1250,625,6958,321,6637
