Fecha,Ruta,Efectivo,Tarifa Incompleta,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes,Ingreso Total
14/01/2021,A16,9963,805.5,463,9500,3201.5,1049.75,0,0,0,10768.5,4251.25,1000,435,232,0,667,1667,15019.75
14/01/2021,A17,2079.5,96,94,1985.5,893,237.5,0,0,0,2175.5,1130.5,209,245,66,0,311,520,3306
14/01/2021,A18,5491,442.5,256.5,5234.5,3420,427.5,0,0,0,5933.5,3847.5,551,609,90,0,699,1250,9781
14/01/2021,A19,34583,1791.5,1637,32946,14563.5,1961.75,0,0,0,36374.5,16525.25,3468,2767,457,0,3224,6692,52899.75
14/01/2021,A20,8990.5,881.5,469,8521.5,4845,622.25,0,0,0,9872,5467.25,897,846,131,0,977,1874,15339.25
15/01/2021,A03,3738,323.5,175.5,3562.5,1776.5,275.5,0,0,0,4061.5,2052,375,284,64,0,348,723,6113.5
15/01/2021,A05,1185,93,45,1140,313.5,137.75,0,0,0,1278,451.25,120,99,29,0,128,248,1729.25
15/01/2021,A06,3851,177.5,165,3686,3163.5,579.5,0,0,0,4028.5,3743,388,584,138,0,722,1110,7771.5
15/01/2021,A07,827,36.5,48,779,408.5,123.5,0,0,0,863.5,532,82,88,26,0,114,196,1395.5
15/01/2021,A08,18148,1122,820,17328,5956.5,1225.5,0,0,0,19270,7182,1824,1194,279,0,1473,3297,26452
15/01/2021,A13,519,37,25,494,237.5,52.25,0,0,0,556,289.75,52,47,11,0,58,110,845.75
15/01/2021,A14,138.5,8.5,5.5,133,9.5,9.5,0,0,0,147,19,14,1,2,0,3,17,166
15/01/2021,A15,1975,39.5,94,1881,1415.5,156.75,0,0,0,2014.5,1572.25,198,278,62,0,340,538,3586.75
15/01/2021,A16,11135,1008,533,10602,3249,1154.25,0,0,0,12143,4403.25,1116,471,260,0,731,1847,16546.25
15/01/2021,A17,1486.5,109,61.5,1425,475,194.75,0,0,0,1595.5,669.75,150,117,43,0,160,310,2265.25
15/01/2021,A18,7724,617,390,7334,3971,479.75,0,0,0,8341,4450.75,772,713,111,0,824,1596,12791.75
15/01/2021,A19,30120,1603,1401.5,28718.5,12274,1448.75,0,0,0,31723,13722.75,3023,2269,351,0,2620,5643,45445.75
15/01/2021,A20,9691.5,1006.5,495.5,9196,4721.5,570,0,0,0,10698,5291.5,968,922,128,0,1050,2018,15989.5
16/01/2021,A03,1965,97.5,103,1862,427.5,199.5,0,0,0,2062.5,627,196,88,49,0,137,333,2689.5
16/01/2021,A05,1696,103,71.5,1624.5,608,147.25,0,0,0,1799,755.25,171,125,31,0,156,327,2554.25
16/01/2021,A06,5304.5,267.5,241,5063.5,2517.5,389.5,0,0,0,5572,2907,533,465,82,0,547,1080,8479
16/01/2021,A07,924.5,12,41,883.5,627,114,0,0,0,936.5,741,93,114,24,0,138,231,1677.5
16/01/2021,A08,11324,567.5,494,10830,3429.5,612.75,0,0,0,11891.5,4042.25,1140,700,138,0,838,1978,15933.75
16/01/2021,A09,40,0,2,38,0,0,0,0,0,40,0,4,2,0,0,2,6,40
16/01/2021,A13,672.5,88.5,26.5,646,209,66.5,0,0,0,761,275.5,68,82,14,0,96,164,1036.5
16/01/2021,A15,747.5,24,35,712.5,152,19,0,0,0,771.5,171,75,50,6,0,56,131,942.5
16/01/2021,A16,7826.5,654,369,7457.5,2508,603.25,0,0,0,8480.5,3111.25,785,419,138,0,557,1342,11591.75
16/01/2021,A17,1877,68.5,81.5,1795.5,1035.5,147.25,0,0,0,1945.5,1182.75,189,219,38,0,257,446,3128.25
16/01/2021,A18,5132,439.5,258.5,4873.5,2983,380,0,0,0,5571.5,3363,513,446,80,0,526,1039,8934.5
16/01/2021,A19,29230.5,1527.5,1329,27901.5,9538,1111.5,0,0,0,30758,10649.5,2937,1746,283,0,2029,4966,41407.5
16/01/2021,A20,10262.5,935,477.5,9785,4940,479.75,0,0,0,11197.5,5419.75,1030,865,114,0,979,2009,16617.25
17/01/2021,A03,2146.5,179,104,2042.5,883.5,180.5,0,0,0,2325.5,1064,215,135,41,0,176,391,3389.5
17/01/2021,A05,1474.5,157,59,1415.5,399,137.75,0,0,0,1631.5,536.75,149,72,29,0,101,250,2168.25
17/01/2021,A06,5409.5,184.5,222.5,5187,1235,384.75,0,0,0,5594,1619.75,546,237,81,0,318,864,7213.75
17/01/2021,A08,9706,527,443.5,9262.5,2337,394.25,0,0,0,10233,2731.25,975,407,90,0,497,1472,12964.25
17/01/2021,A09,565.5,22.5,24,541.5,114,38,0,0,0,588,152,57,20,9,0,29,86,740
17/01/2021,A15,1491,76,66,1425,551,80.75,0,0,0,1567,631.75,150,97,23,0,120,270,2198.75
17/01/2021,A16,5472.5,533.5,266.5,5206,1406,513,0,0,0,6006,1919,548,216,111,0,327,875,7925
17/01/2021,A17,761,41,29.5,731.5,199.5,104.5,0,0,0,802,304,77,41,22,0,63,140,1106
17/01/2021,A18,3841.5,251.5,184,3657.5,1339.5,223.25,0,0,0,4093,1562.75,385,212,47,0,259,644,5655.75
